date,amount,description,account
07/05/15,-9.79,WALGREENS BROOKLYN,Ally
07/03/15,-1746,DEAN ST,Ally
07/03/15,-35.22,AMAZON.COM SEATTLE,Ally
07/02/15,1000,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
07/01/15,-36,DIAPERKIND 7189659555,Ally
07/01/15,-22.54,GRUBHUB SEAMLESS 8775857878,Ally
06/30/15,-416.96,VOLKSWAGEN CREDI ALLY BANK,Ally
06/30/15,-160.8,VERIZON COMMUNIC ALLY BANK,Ally
06/30/15,-177.05,GEICO ALLY BANK,Ally
06/30/15,-54.83,CON EDISON SOLUT ALLY BANK,Ally
06/30/15,-175,CENTRAL PARKING ALLY BANK,Ally
06/30/15,-59.95,CABLEVISION ALLY BANK,Ally
06/29/15,-47.19,FOODTOWN #602 BROOKLYN,Ally
06/26/15,3000,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
06/26/15,-63.98,GOSMAN'S CLAM BAR MONTAUK,Ally
06/25/15,-10.74,BEN AND JERRY'S MONTAUK,Ally
06/25/15,100,Overdraft Transfer,Ally
06/25/15,-17.4,AMAGANSETT SUPERSAVE AMAGANSETT,Ally
06/24/15,-36,DIAPERKIND 7189659555,Ally
06/23/15,-8.85,CVS/PHARMACY #05063 EAST HAMPTON,Ally
06/23/15,-20.1,SPRING GENERAL STORE EAST HAMPTON,Ally
06/22/15,-115.05,HARBOR BISTRO EAST HAMPTON,Ally
06/21/15,-36.99,CVS 05063 E HAMPTON,Ally
06/19/15,-53.35,BKLYN LARDER(ECOMMERCE 07187831250,Ally
06/17/15,-30.22,KEY FOODS #1370 BROOKLYN,Ally
06/17/15,-36,DIAPERKIND 7189659555,Ally
06/17/15,-8.04,MTATB REBILL AC ACH TRAN,Ally
06/16/15,-5.54,MTATB REBILL AC ACH TRAN,Ally
06/15/15,-110.78,FOODTOWN #602 BROOKLYN,Ally
06/15/15,-19.11,Duane Reade BROOKLYN,Ally
06/15/15,-11.08,MTATB REBILL AC ACH TRAN,Ally
06/15/15,-3,SQ *DAILY PRESS BROOKLYN,Ally
06/14/15,-16.33,GRUBHUB SEAMLESS 8775857878,Ally
06/14/15,-61.75,B   L DELI 3176 ROUTE 9 Cold Springs,Ally
06/11/15,-20,KING TAI BROOKLYN,Ally
06/11/15,-22.05,SEAMLESS 800-905-9322,Ally
06/11/15,-20,DIAPERKIND 7189659555,Ally
06/10/15,1.99,ATM Fee Reimbursement,Ally
06/10/15,0.13,Interest Paid,Ally
06/10/15,-40.99,573 CANDY GROCE 573 NOSTRAND AVENU BROOKLYN,Ally
06/10/15,-36,DIAPERKIND 7189659555,Ally
06/09/15,-1746,DEAN ST,Ally
06/09/15,-1.25,MTATB REBILL AC ACH TRAN,Ally
06/08/15,-27.65,WALGREENS BROOKLYN,Ally
06/08/15,-22.03,SEAMLESS 800-905-9322,Ally
06/08/15,-26.3,THE GREEN GRAPE BROOKLYN,Ally
06/08/15,-11.08,MTATB REBILL AC ACH TRAN,Ally
06/08/15,-21.53,BROOKLYN LARDER BROOKLYN,Ally
06/07/15,-19.25,KEY FOODS #0440 BR HEMPSTED,Ally
06/07/15,-41,F AND J DISC-21 553 NOSTRAND AVE BROOKLYN,Ally
06/07/15,-22.77,PINE TREE BROOKLYN,Ally
06/05/15,-25.12,SEAMLESS 800-905-9322,Ally
06/04/15,-19.42,SEAMLESS 800-905-9322,Ally
06/03/15,-36,DIAPERKIND 7189659555,Ally
06/03/15,-3.69,MTATB REBILL AC ACH TRAN,Ally
06/02/15,-28.67,AMAZON.COM SEATTLE,Ally
06/02/15,2000,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
06/01/15,-43.49,FOODTOWN #602 BROOKLYN,Ally
06/01/15,-160.8,VERIZON COMMUNIC ALLY BANK,Ally
06/01/15,-177.09,GEICO ALLY BANK,Ally
06/01/15,-60.83,CON EDISON SOLUT ALLY BANK,Ally
06/01/15,-59.95,CABLEVISION ALLY BANK,Ally
06/01/15,-11.08,MTATB REBILL AC ACH TRAN,Ally
06/01/15,-5.5,SQ *DAILY PRESS BROOKLYN,Ally
06/01/15,-39.78,WHISTLING WILLIES AMER COLD SPRING,Ally
05/31/15,-23.83,WALGREENS BROOKLYN,Ally
05/30/15,-21.96,BROOKLYN LARDER BROOKLYN,Ally
05/28/15,-10,KING TAI BROOKLYN,Ally
05/28/15,-72.73,SEAMLESS 800-905-9322,Ally
05/27/15,-36,DIAPERKIND 7189659555,Ally
05/27/15,-10.93,NA BAGELS BROOKLYN,Ally
05/25/15,-40.84,CHAR NO. 4 BROOKLYN,Ally
05/25/15,-9.97,KEY FOODS #1370 BROOKLYN,Ally
05/25/15,-45.26,THE FOOD SERMON BROOKLYN,Ally
05/25/15,-53.92,THE GREEN GRAPE BROOKLYN,Ally
05/24/15,-83.94,FOODTOWN #602 BROOKLYN,Ally
05/22/15,-19.42,SEAMLESS 800-905-9322,Ally
05/21/15,-6.85,AMAZON MKTPLACE PMTS AMZN.COM/BILL,Ally
05/21/15,-49.02,AMAZON.COM SEATTLE,Ally
05/21/15,-416.96,VOLKSWAGEN CREDI ALLY BANK,Ally
05/21/15,-54.74,CON EDISON SOLUT ALLY BANK,Ally
05/21/15,-175,CENTRAL PARKING ALLY BANK,Ally
05/21/15,-59.95,CABLEVISION ALLY BANK,Ally
05/20/15,-49.46,WALGREENS BROOKLYN,Ally
05/20/15,-47.55,SEAMLESS 800-905-9322,Ally
05/20/15,-6.44,AMAZON.COM SEATTLE,Ally
05/20/15,-5.52,AMAZON.COM SEATTLE,Ally
05/20/15,-36,DIAPERKIND 7189659555,Ally
05/19/15,2500,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
05/19/15,-10.88,MAQ 888 INC BROOKLYN,Ally
05/18/15,-31.99,Duane Reade BROOKLYN,Ally
05/18/15,-66.98,CHAVELAS BROOKLYN,Ally
05/17/15,-11,PACIFIC SUPERMA BROOKLYN,Ally
05/16/15,-34.3,FOODTOWN #602 BROOKLYN,Ally
05/16/15,-22.4,METROPOLITAN CITY BROOKLYN,Ally
05/16/15,-48.58,NST THE HOME DEPOT 1309 BROOKLYN,Ally
05/15/15,-90.5,SEAMLESS 800-905-9322,Ally
05/14/15,-11,PACIFIC SUPERMA BROOKLYN,Ally
05/14/15,-11,PACIFIC SUPERMA BROOKLYN,Ally
05/14/15,-88.5,Requested transfer to POLLY D BRESNICK (BANK OF AMERICA,Ally
05/14/15,-4,MTATB REBILL AC ACH TRAN,Ally
05/14/15,-15.23,RICKY`S NYC 132 BROOKLYN,Ally
05/13/15,-36,DIAPERKIND 7189659555,Ally
05/13/15,-34.85,MTATB REBILL AC ACH TRAN,Ally
05/12/15,-30.85,FOODTOWN #602 BROOKLYN,Ally
05/12/15,-4,MTATB REBILL AC ACH TRAN,Ally
05/11/15,-25.73,MET FOOD BROOKLYN,Ally
05/11/15,-89.04,RUSTICO Alexandria,Ally
05/11/15,-24.18,MTATB REBILL AC ACH TRAN,Ally
05/11/15,-11.95,Z MARKET DE-TP10616902 NEWARK,Ally
05/10/15,6.49,ATM Fee Reimbursement,Ally
05/10/15,0.21,Interest Paid,Ally
05/09/15,-33.51,SUNOCO 03339868 NEWARK,Ally
05/09/15,-666,Internet transfer to Online Savings account XXXXXX2493,Ally
05/09/15,-666,Internet transfer to Online Savings account XXXXXX2485,Ally
05/09/15,-19.6,SEAMLESS 800-905-9322,Ally
05/08/15,-75,Requested transfer to POLLY D BRESNICK (BANK OF AMERICA,Ally
05/06/15,-36,DIAPERKIND 7189659555,Ally
05/06/15,2000,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
05/06/15,-8.3,MTATB REBILL AC ACH TRAN,Ally
05/06/15,-5.54,MTATB REBILL AC ACH TRAN,Ally
05/06/15,-17.97,MTATB REBILL AC ACH TRAN,Ally
05/05/15,-7.07,WALGREENS BROOKLYN,Ally
05/05/15,260,Requested transfer from POLLY D BRESNICK Ally Bank Transfer,Ally
05/04/15,-24.64,FOODTOWN #602 BROOKLYN,Ally
05/04/15,-16.98,Duane Reade BROOKLYN,Ally
05/04/15,200,Internet transfer from Online Savings account XXXXXX2485,Ally
05/02/15,-19.24,SEAMLESS 800-905-9322,Ally
05/01/15,-11,PACIFIC SUPERMA BROOKLYN,Ally
04/30/15,-61,F AND J DISC-21 553 NOSTRAND AVE BROOKLYN,Ally
04/30/15,-202.75,CANAL ICONIC MA 385 CANAL ST. NEW YORK,Ally
04/30/15,-1746,DEAN ST,Ally
04/29/15,-75.87,FOODTOWN #602 BROOKLYN,Ally
04/29/15,-36,DIAPERKIND 7189659555,Ally
04/27/15,-34.07,SEAMLESS 800-905-9322,Ally
04/27/15,-10.28,WALGREENS BROOKLYN,Ally
04/24/15,-36.64,FOODTOWN #602 BROOKLYN,Ally
04/22/15,-36,DIAPERKIND 7189659555,Ally
04/22/15,-15.98,CARIB FOOD MARKET BROOKLYN,Ally
04/21/15,-177,Requested transfer to POLLY D BRESNICK (BANK OF AMERICA,Ally
04/21/15,-6500,Requested transfer to GARY M KERTIS (CAPITAL ONE N.A. Checking XXXXXX3319),Ally
04/21/15,-416.96,VOLKSWAGEN CREDI ALLY BANK,Ally
04/21/15,-326.81,VERIZON COMMUNIC ALLY BANK,Ally
04/21/15,-175,CENTRAL PARKING ALLY BANK,Ally
04/21/15,-59.95,CABLEVISION ALLY BANK,Ally
04/20/15,-30.1,AMAZON.COM SEATTLE,Ally
04/20/15,-18.25,AMAZON.COM SEATTLE,Ally
04/20/15,-20.99,DULCE CLEANE-26 774 NOSTRAND AVE BROOKLYN,Ally
04/20/15,-14.87,CARIB FOOD MARKET BROOKLYN,Ally
04/20/15,-18.74,SEAMLESS 800-905-9322,Ally
04/20/15,-20.66,SQ *MEME'S HEALTHY NIB Brooklyn,Ally
04/19/15,-6.99,MET FOOD BROOKLYN,Ally
04/17/15,-71.75,226 DELI GRO-15 226  4TH AVE BROOKLYN,Ally
04/17/15,-49.19,FOODTOWN #602 BROOKLYN,Ally
04/17/15,3000,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
04/16/15,7001,IRS  TREAS 310 TAX REF~ Future Amount: 7001 ~ Tran: DDIR,Ally
04/15/15,-36,DIAPERKIND 7189659555,Ally
04/13/15,-11,FAMILY EXPRESS DELI BROOKLYN,Ally
04/13/15,-16,SQ *MORRIS SANDWICH SH Brooklyn,Ally
04/12/15,-31.36,GRUBHUB SEAMLESS 8775857878,Ally
04/12/15,-50.24,FOODTOWN #602 BROOKLYN,Ally
04/11/15,-32.66,SEAMLESS 800-905-9322,Ally
04/10/15,0.14,Interest Paid,Ally
04/10/15,-550,KIMERLING & WISD ALLY BANK,Ally
04/10/15,140,NY STATE TAX REFUND~ Future Amount: 140 ~ Tran: DDIR,Ally
04/09/15,-11.98,THE KATIROLL COMPANY NEW YORK,Ally
04/09/15,-1518,KIDS RUN AROUND ALLY BANK,Ally
04/08/15,-4.63,GOURMET NEW YORK NEW YORK,Ally
04/08/15,-36,DIAPERKIND 7189659555,Ally
04/07/15,-87.95,GP*MILE END NEW YORK,Ally
04/06/15,-11,PACIFIC SUPERMA BROOKLYN,Ally
04/06/15,-13.34,THE GREENE GRAP BROOKLYN,Ally
04/06/15,-39.56,THE GREEN GRAPE BROOKLYN,Ally
04/06/15,-9.8,USPS 3508940306 BROOKLYN,Ally
04/06/15,-21.41,FOODTOWN #602 BROOKLYN,Ally
04/04/15,-18.97,WALGREENS BROOKLYN,Ally
04/04/15,-45.59,SY8 PINTCHIK       6606 BROOKLYN,Ally
04/04/15,-35.31,FOODTOWN #602 BROOKLYN,Ally
04/03/15,-26.99,SEAMLESS 800-905-9322,Ally
04/02/15,2500,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
04/02/15,-1746,DEAN ST,Ally
04/01/15,-36,DIAPERKIND 7189659555,Ally
04/01/15,-14.2,MTATB REBILL AC ACH TRAN,Ally
03/30/15,-28.43,SHELL OIL 10004400007 COLUMBIA,Ally
03/30/15,-27.45,ALPINE MEATS BLAIRSTOWN,Ally
03/30/15,-70.88,FOODTOWN #602 BROOKLYN,Ally
03/28/15,-20.33,SEAMLESS 800-905-9322,Ally
03/27/15,-39.47,GOURMET GARAGE NEW YORK,Ally
03/25/15,-28.99,WALGREENS BROOKLYN,Ally
03/25/15,-36,DIAPERKIND 7189659555,Ally
03/25/15,600,Requested transfer from POLLY D BRESNICK Ally Bank Transfer,Ally
03/24/15,-3,DOUGH NEW YORK,Ally
03/24/15,-25.53,CARIB FOOD MARKET BROOKLYN,Ally
03/23/15,-50.4,BUILDING ON BOND BROOKLYN,Ally
03/23/15,-40.24,694 GO GREEN BROOKLYN,Ally
03/23/15,-23.25,WALGREENS BROOKLYN,Ally
03/23/15,-53.54,QI *DIAPERS.COM 800-342-7377,Ally
03/23/15,-1,NYCDOT PARKING METERS LONG IS CITY,Ally
03/21/15,-58.17,THE GREEN GRAPE BROOKLYN,Ally
03/21/15,-62.28,GRUBHUB SEAMLESS 8775857878,Ally
03/21/15,-12,B TOWN DELI & CONVENIE BROOKLYN,Ally
03/20/15,-20.25,FIFTH AVENUE DINER BROOKLYN,Ally
03/20/15,-1,NYCDOT PARKING METERS LONG IS CITY,Ally
03/20/15,-1,NYCDOT PARKING METERS LONG IS CITY,Ally
03/19/15,-416.96,VOLKSWAGEN CREDI ALLY BANK,Ally
03/19/15,-175,CENTRAL PARKING ALLY BANK,Ally
03/18/15,2333,Internet transfer from Online Savings account XXXXXX2485,Ally
03/18/15,-36,DIAPERKIND 7189659555,Ally
03/17/15,-45.11,GP*RUCOLA BROOKLYN,Ally
03/16/15,-37.22,GLADY'S BROOKLYN,Ally
03/16/15,-62.9,FOODTOWN #602 BROOKLYN,Ally
03/16/15,-25.56,WALGREENS BROOKLYN,Ally
03/16/15,-16,The Sampler Brooklyn,Ally
03/16/15,-11,FAMILY EXPRESS DELI BROOKLYN,Ally
03/15/15,-19.76,FOODTOWN #602 BROOKLYN,Ally
03/14/15,-8.15,GARVEY'S HARDWARE INC BROOKLYN,Ally
03/13/15,-69.23,SEAMLESS 800-905-9322,Ally
03/13/15,-12.89,NOSTRAND AVENUE PUB BROOKLYN,Ally
03/11/15,-36,DIAPERKIND 7189659555,Ally
03/11/15,-6.99,AMAZON.COM SEATTLE,Ally
03/11/15,-6.65,AMAZON.COM SEATTLE,Ally
03/10/15,2.49,ATM Fee Reimbursement,Ally
03/10/15,0.08,Interest Paid,Ally
03/10/15,-16.56,WALGREENS BROOKLYN,Ally
03/10/15,-34.84,UGLY DUCKLING BROOKLYN,Ally
03/09/15,-14.77,WALGREENS BROOKLYN,Ally
03/09/15,-29.74,BROOKLYN LARDER BROOKLYN,Ally
03/09/15,-51.92,BROOKLYN LARDER BROOKLYN,Ally
03/07/15,-22.14,FOODTOWN #602 BROOKLYN,Ally
03/07/15,-14.67,WALGREENS BROOKLYN,Ally
03/07/15,-34.4,SEAMLESS 800-905-9322,Ally
03/05/15,-20.55,FOODTOWN #602 BROOKLYN,Ally
03/05/15,-171.54,VERIZON COMMUNIC ALLY BANK,Ally
03/05/15,-177.09,GEICO ALLY BANK,Ally
03/05/15,-59.95,CABLEVISION ALLY BANK,Ally
03/04/15,-333,Internet transfer to Online Savings account XXXXXX2485,Ally
03/04/15,-333,Internet transfer to Online Savings account XXXXXX2493,Ally
03/04/15,-36,DIAPERKIND 7189659555,Ally
03/03/15,-14,HANCO ON SMITH STREET BROOKLYN,Ally
03/03/15,2000,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
03/03/15,-9,Fee for Overdraft Item Paid,Ally
03/03/15,-60.74,CON EDISON SOLUT ALLY BANK,Ally
03/03/15,-4,LAZY IBIS LLC BROOKLYN,Ally
03/02/15,-1746,DEAN ST,Ally
03/02/15,-17.31,SQ *MEME'S HEALTHY NIB Brooklyn,Ally
03/01/15,-88.82,FOODTOWN #602 BROOKLYN,Ally
02/28/15,-18.79,SEAMLESS 800-905-9322,Ally
02/25/15,-36,DIAPERKIND 7189659555,Ally
02/25/15,-416.96,VOLKSWAGEN CREDI ALLY BANK,Ally
02/25/15,-175,CENTRAL PARKING ALLY BANK,Ally
02/23/15,-51.32,FOODTOWN #602 BROOKLYN,Ally
02/23/15,59.75,Internet transfer from Online Savings account XXXXXX2493,Ally
02/23/15,67.59,Internet transfer from Online Savings account XXXXXX2485,Ally
02/23/15,1000,Requested transfer from POLLY D BRESNICK Ally Bank Transfer,Ally
02/23/15,1500,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
02/23/15,-58.99,CHAVELAS BROOKLYN,Ally
02/23/15,-13.89,NOSTRAND AVENUE PUB BROOKLYN,Ally
02/23/15,-32.35,CARROLL GARDENS CLASSI BROOKLYN,Ally
02/23/15,-12,NAS DELI & TOBACCO INC BROOKLYN,Ally
02/21/15,-75,TRIBECA PEDIATRICS PLL 212-2267666,Ally
02/20/15,-1,NYCDOT PARKING METERS LONG IS CITY,Ally
02/19/15,-46.11,PEACHES - BROOKLYN BROOKLYN,Ally
02/19/15,-19.98,QI *DIAPERS.COM 800-342-7377,Ally
02/18/15,-150.99,573 CANDY GROCE 573 NOSTRAND AVENU BROOKLYN,Ally
02/18/15,-36,DIAPERKIND 7189659555,Ally
02/17/15,-9.45,NYC TAXI 4H51 BROOKLYN,Ally
02/17/15,-80.08,FOODTOWN #602 BROOKLYN,Ally
02/17/15,-18.93,SEAMLESS 800-905-9322,Ally
02/17/15,-100.35,CON EDISON SOLUT ALLY BANK,Ally
02/17/15,-59.95,CABLEVISION ALLY BANK,Ally
02/17/15,-39.4,LAFAYETTE CAFE BROOKLYN,Ally
02/17/15,-40.52,SEAMLESS 800-905-9322,Ally
02/17/15,-11.71,NOSTRAND AVENUE PUB BROOKLYN,Ally
02/16/15,-41.5,DER SCHWARZE KO 710 FULTON STREET Brooklyn,Ally
02/14/15,-25.07,SEAMLESS 800-905-9322,Ally
02/11/15,-10.95,WALGREENS BROOKLYN,Ally
02/11/15,-36,DIAPERKIND 7189659555,Ally
02/10/15,0.13,Interest Paid,Ally
02/10/15,-9.38,THE GREEN GRAPE BROOKLYN,Ally
02/09/15,-45.85,BUILDING ON BOND BROOKLYN,Ally
02/09/15,-40.89,FOODTOWN #602 BROOKLYN,Ally
02/09/15,-16.98,BOB & BETTY`S BROOKLYN,Ally
02/08/15,-18.4,SQ *MORRIS SANDWICH SH Brooklyn,Ally
02/06/15,-29.6,KEY FOODS #0440 HEMPSTEAD,Ally
02/05/15,-19.42,SEAMLESS 800-905-9322,Ally
02/04/15,-36,DIAPERKIND 7189659555,Ally
02/04/15,1000,Requested transfer from GARY M KERTIS Ally Bank Transfer,Ally
02/02/15,-30.95,FOODTOWN #602 BROOKLYN,Ally
02/02/15,-39.43,SEAMLESS 800-905-9322,Ally
02/02/15,-52.02,SEAMLESS 800-905-9322,Ally
01/30/15,-8.7,MTATB REBILL AC ACH TRAN,Ally
01/29/15,-9.75,MTATB REBILL AC ACH TRAN,Ally
01/29/15,-11.8,NOSTRAND AVENUE PUB BROOKLYN,Ally
01/28/15,-35,DIAPERKIND 7189659555,Ally
01/28/15,-13.1,MTATB REBILL AC ACH TRAN,Ally
01/27/15,-1746,DEAN ST,Ally
01/27/15,-20.85,MTATB REBILL AC ACH TRAN,Ally
01/26/15,-32.25,SUNOCO 0368295201 CHERRY HILL,Ally
01/26/15,-9,M AND M MARKET DELICAT NEW YORK,Ally
01/26/15,-19.59,PINTCHIK BROOKLYN,Ally
01/25/15,-16.31,AMAZON.COM SEATTLE,Ally
01/24/15,-1,NYCDOT PARKING METERS LONG IS CITY,Ally
01/23/15,-36.02,FOODTOWN #602 BROOKLYN,Ally
01/23/15,-160.48,VERIZON COMMUNIC ALLY BANK,Ally
01/23/15,-131.72,CON EDISON SOLUT ALLY BANK,Ally
01/22/15,-416.96,VOLKSWAGEN CREDI ALLY BANK,Ally
01/22/15,-160.48,VERIZON COMMUNIC ALLY BANK,Ally
01/22/15,-175,CENTRAL PARKING ALLY BANK,Ally
01/22/15,-59.95,CABLEVISION ALLY BANK,Ally
01/21/15,-333,Internet transfer to Online Savings account XXXXXX2485,Ally
01/21/15,-35,DIAPERKIND 7189659555,Ally
01/20/15,-5.33,MTATB REBILL AC ACH TRAN,Ally
01/20/15,-5.33,MTATB REBILL AC ACH TRAN,Ally
01/20/15,-3.95,MTATB REBILL AC ACH TRAN,Ally
01/20/15,1500,Requested transfer from GARY M KERTIS (CAPITAL ONE N.A. Checking XXXXXX3319),Ally
01/18/15,-35.77,SUNOCO 0587018301 WALLKILL,Ally
01/17/15,-19.96,CUMBERLAND FARM WOODSTOCK,Ally
01/17/15,-1188.87,NYU HOSPITALS CENTER NEW CASTLE,Ally
01/17/15,-29.94,STEWARTS SHOP 301 WOODSTOCK,Ally
01/15/15,-59.95,FOODTOWN #602 BROOKLYN,Ally
01/15/15,300,Requested transfer from POLLY D BRESNICK (BANK OF AMERICA,Ally
01/14/15,-35,DIAPERKIND 7189659555,Ally
01/14/15,1888.87,Internet transfer from Online Savings account XXXXXX2493,Ally
01/13/15,-16.57,MET FOOD BROOKLYN,Ally
01/12/15,-38.66,SEAMLESS 800-905-9322,Ally
01/12/15,-19.33,SEAMLESS 800-905-9322,Ally
01/12/15,-1,NYCDOT PARKING METERS LONG IS CITY,Ally
01/10/15,0.13,Interest Paid,Ally
01/10/15,-26.34,THE GREEN GRAPE BROOKLYN,Ally
01/10/15,-212.46,FRANNY'S BROOKLYN,Ally
01/08/15,-35.21,SEAMLESS 800-905-9322,Ally
01/08/15,-37.99,carters,Ally
01/07/15,-35,DIAPERKIND 7189659555,Ally
01/07/15,-215.46,THE BROOKLYN STAR BROOKLYN,Ally
01/05/15,1400,Requested transfer from GARY M KERTIS (CAPITAL ONE N.A. Checking XXXXXX3319),Ally
01/05/15,-10.75,MTATB REBILL AC ACH TRAN,Ally
01/05/15,-16.21,QI *DIAPERS.COM 800-342-7377,Ally
01/05/15,-115,DOF PARKINGANDCAMERA T NEW YORK,Ally
01/05/15,-2.86,NYCFINANCECONVENIENCEF NEW YORK,Ally
01/04/15,-74.63,FOODTOWN #602 BROOKLYN,Ally
01/03/15,-13.99,FOOD TRAIN BROOKLYN,Ally
